TV,Radio,Newspaper,Sales,Region
286,13.9,3.7,15.9,4
18.7,12.1,23.4,6.7,4
39.5,41.1,5.8,10.8,4
75.5,10.8,6,9.9,4
17.2,4.1,31.6,5.9,4
166.8,42,3.6,19.6,4
149.7,35.6,6,17.3,4
38.2,3.7,13.8,7.6,4
94.2,4.9,8.1,9.7,4
177,9.3,6.4,12.8,4
283.6,42,66.2,25.5,4
232.1,8.6,8.7,13.4,4
